abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
shanghai v.  (-hais, -haied, -haiing) 1 colloq. Trick or force someone into doing something. 2 trick or force (a person) into serving as a sailor. [shanghai in china]
sheep n.  (pl. Same) 1 mammal with a thick woolly coat, esp. Kept for its wool or meat. 2 timid, silly, or easily-led person. 3 (usu. In pl.) Member of a minister's congregation. [old english]
shelf n.  (pl. Shelves) 1 wooden etc. Board projecting from a wall, or as part of a unit, used to store things. 2 a projecting horizontal ledge in a cliff face etc. B reef or sandbank.  on the shelf 1 (of a woman) regarded as too old to hope for marriage. 2 (esp. Of a retired person) put aside as if no longer useful. [low german]
sheriff n.  1 a (also high sheriff) chief executive officer of the crown in a county, administering justice etc. B honorary officer elected annually in some towns. 2 us elected chief law-enforcing officer in a county. 3 (also sheriff-depute) scot. Chief judge of a county or district. [old english: related to *shire, *reeve1]
shipment n.  1 amount of goods shipped. 2 act of shipping goods etc.
shipping n.  1 transport of goods etc. 2 ships, esp. A navy.
shirt n.  Upper-body garment of cotton etc., usu. Front-opening.  keep one's shirt on colloq. Keep one's temper. Put one's shirt on colloq. Bet all one has on.  shirting n. Shirtless adj. [old english]
shopping n.  1 (often attrib.) Purchase of goods etc. 2 goods purchased.
showing n.  1 display, performance. 2 quality of performance. 3 presentation of a case; evidence.
shut v.  (-tt-; past and past part. Shut) 1 a move (a door, window, lid, etc.) Into position to block an opening. B close or seal (a room, box, eye, etc.) By moving a door etc. 2 become or be capable of being closed or sealed. 3 become or make closed for trade. 4 fold or contract (a book, telescope, etc.). 5 (usu. Foll. By in, out) keep in or out of a room etc. 6 (usu. Foll. By in) catch (a finger, dress, etc.) By shutting something on it. 7 bar access to.  be (or get) shut of slang be (or get) rid of. Shut down 1 stop (a factory etc.) From operating. 2 (of a factory etc.) Stop operating. Shut off 1 stop the flow of (water, gas, etc.). 2 separate from society etc. Shut out 1 exclude. 2 screen from view. 3 prevent. 4 block from the mind. Shut up 1 close all doors and windows of. 2 imprison. 3 put (a thing) away in a box etc. 4 (esp. In imper.) Colloq. Stop talking. Shut up shop close a business, shop, etc., temporarily or permanently. [old english]
siemens n.  Si unit of conductance, equal to one reciprocal ohm. [von siemens, name of an engineer]
sierra n.  Long jagged mountain chain, esp. In spain or spanish america. [spanish from latin serra saw]
sigma n.  Eighteenth letter of the greek alphabet (s, s, or, when final, v). [latin from greek]
signature n.  1 a person's name, initials, etc. Used in signing. B act of signing. 2 mus. A = *key signature. B = *time signature. 3 printing section of a book made from one sheet folded and cut. [medieval latin: related to *signatory]
silent adj.  Not speaking; not making or accompanied by any sound.  silently adv. [latin sileo be silent]
silicon n.  Chem. Non-metallic element occurring widely in silica and silicates.
silk n.  1 fine soft lustrous fibre produced by silkworms. 2 (often attrib.) Thread or cloth from this. 3 (in pl.) Cloth or garments of silk, esp. As worn by a jockey. 4 colloq. Queen's (or king's) counsel, as having the right to wear a silk gown. 5 fine soft thread (embroidery silk).  take silk become a queen's (or king's) counsel. [old english sioloc]
similar adj.  1 like, alike. 2 (often foll. By to) having a resemblance. 3 geom. Shaped alike.  similarity n. (pl. -ies). Similarly adv. [latin similis like]
simple adj.  (simpler, simplest) 1 understood or done easily and without difficulty. 2 not complicated or elaborate; plain. 3 not compound or complex. 4 absolute, unqualified, straightforward (the simple truth). 5 foolish; gullible, feeble-minded.  simpleness n. [latin simplus]
sir n.  1 polite form of address or reference to a man. 2 (sir) title prefixed to the forename of a knight or baronet. [from *sire]
sister n.  1 woman or girl in relation to her siblings. 2 female fellow member of a trade union, feminist group, etc. 3 senior female nurse. 4 member of a female religious order. 5 (often attrib.) Of the same type, design, or origin etc. (sister ship; prose, the younger sister of verse).  sisterly adj. [old english]
sit v.  (-tt-; past and past part. Sat) 1 support the body by resting the buttocks on the ground or a seat etc. 2 cause to sit; place in a sitting position. 3 a (of a bird) perch or warm the eggs in its nest. B (of an animal) rest with the hind legs bent and the buttocks on the ground. 4 (of a committee etc.) Be in session. 5 (usu. Foll. By for) pose (for a portrait). 6 (foll. By for) be a member of parliament for (a constituency). 7 (often foll. By for) take (an examination). 8 be in a more or less permanent position or condition (left sitting in rome; parcel sitting on the doorstep). 9 (of clothes etc.) Fit or hang in a certain way. 10 babysit.  be sitting pretty be comfortably placed. Sit at a person's feet be a person's pupil. Sit back relax one's efforts. Sit down 1 sit after standing. 2 cause to sit. 3 (foll. By under) submit tamely to (an insult etc.). Sit in 1 occupy a place as a protest. 2 (foll. By for) take the place of. 3 (foll. By on) be present as a guest or observer at (a meeting etc.). Sit in judgement be censorious or self-righteous. Sit on 1 be a member of (a committee etc.). 2 hold a session or inquiry concerning. 3 colloq. Delay action about. 4 colloq. Repress, rebuke, or snub. Sit on the fence remain neutral or undecided. Sit out 1 take no part in (a dance etc.). 2 stay till the end of (esp. An ordeal). 3 sit outdoors. Sit tight colloq. 1 remain firmly in one's place. 2 not yield. Sit up 1 rise from lying to sitting. 2 sit firmly upright. 3 go to bed late. 4 colloq. Become interested or aroused etc. Sit well on suit or fit. [old english]
situation n.  1 place and its surroundings. 2 circumstances; position; state of affairs. 3 formal paid job.  situational adj.
six adj.  & n. 1 one more than five. 2 symbol for this (6, vi, vi). 3 size etc. Denoted by six. 4 cricket hit scoring six runs. 5 six o'clock.  at sixes and sevens in confusion or disagreement. Knock (or hit) for six colloq. Utterly surprise or overcome. [old english]
sixth adj.  & n. 1 next after fifth. 2 any of six equal parts of a thing.  sixthly adv.
skill n.  (often foll. By in) ability to do something well; technique, expertise. [old norse, = difference]
skilled adj.  1 (often foll. By in) skilful. 2 (of work or a worker) requiring or having skill or special training.
sleeve n.  1 part of a garment that encloses an arm. 2 cover of a gramophone record. 3 tube enclosing a rod etc.  up one's sleeve in reserve.  sleeved adj. (also in comb.). Sleeveless adj. [old english]
smith n.  1 blacksmith. 2 (esp. In comb.) Worker in metal (goldsmith). 3 (esp. In comb.) Craftsman (wordsmith). [old english]
snapshot n.  Casual or informal photograph.
soccer n.  Association football. [from *assoc.]
society n.  (pl. -ies) 1 organized and interdependent community. 2 system and organization of this. 3 aristocratic part of this; its members (polite society; society would not approve). 4 mixing with others; companionship, company. 5 club, association (music society; building society).  societal adj. [latin societas]
sociology n.  The study of society and social problems.  sociological adj. Sociologist n. [french: related to *social]
socket n.  Hollow for something to fit into etc., esp. A device receiving an electric plug, light-bulb, etc. [anglo-french]
sodium n.  Soft silver-white metallic element. [from *soda]
sofa n.  Long upholstered seat with a back and arms. [arabic shuffa]
softball n.  Form of baseball using a softer and larger ball.
software n.  Programs for a computer.
solar adj.  Of or reckoned by the sun. [latin sol sun]
solution n.  1 solving or means of solving a problem. 2 a conversion of a solid or gas into a liquid by mixture with a liquid. B state resulting from this. 3 dissolving or being dissolved.
solve v.  (-ving) answer, remove, or effectively deal with (a problem).  solvable adj.
someone n.  & pron. = *somebody.
something n.  & pron. 1 unspecified or unknown thing (something has happened). 2 unexpressed or intangible quantity, quality, or extent (something strange about it). 3 colloq. Notable person or thing.  something else colloq. Something exceptional. Something like approximately. Something of to some extent (something of an expert). [old english: related to *some, *thing]
son n.  1 boy or man in relation to his parent(s). 2 male descendant. 3 (foll. By of) male member of a family, etc. 4 male descendent or inheritor of a quality etc. (sons of freedom). 5 form of address, esp. To a boy. [old english]
song n.  1 words set to music or meant to be sung. 2 vocal music. 3 musical composition suggestive of a song. 4 cry of some birds.  for a song colloq. Very cheaply. [old english: related to *sing]
sonic adj.  Of or using sound or sound waves. [latin sonus sound]
soul n.  1 spiritual or immaterial part of a person, often regarded as immortal. 2 moral, emotional, or intellectual nature of a person. 3 personification or pattern (the very soul of discretion). 4 an individual (not a soul in sight). 5 person regarded with familiarity or pity etc. (the poor soul; a good soul). 6 person regarded as an animating or essential part (life and soul). 7 energy or intensity, esp. In a work of art. 8 = *soul music.  upon my soul exclamation of surprise. [old english]
source n.  1 place from which a river or stream issues. 2 place of origination. 3 person or document etc. Providing information.  at source at the point of origin or issue. [french: related to *surge]
southern adj.   Of or in the south.  southernmost adj.
spa n.  1 curative mineral spring. 2 resort with this. [spa in belgium]
spam n.  Propr. Tinned meat made from ham. [spiced ham]
spatial adj.  Of space.  spatially adv. [latin: related to *space]
speak v.  (past spoke; past part. Spoken) 1 utter words in an ordinary voice. 2 utter (words, the truth, etc.). 3 a converse; talk (spoke to her earlier; had to speak to the children about rudeness). B (foll. By of, about) mention in writing etc. C (foll. By for) act as spokesman for. 4 (foll. By to) speak with reference to; support in words (spoke to the resolution). 5 make a speech. 6 use or be able to use (a specified language). 7 a convey an idea (actions speak louder than words). B (usu. Foll. By to) communicate feeling etc.; affect, touch (the sunset spoke to her).  generally (or strictly etc.) Speaking in the general (or strict etc.) Sense. Not (or nothing) to speak of not (or nothing) worth mentioning. On speaking terms friendly enough to converse. Speak for itself be sufficient evidence. Speak out (often followed by against) give one's opinion courageously. Speak up 1 speak loudly or freely; speak louder. 2 (followed by for) defend. Speak volumes be very significant. [old english]
speaker n.  1 person who speaks, esp. In public. 2 person who speaks a specified language (esp. In comb.: a french-speaker). 3 (speaker) presiding officer in a legislative assembly, esp. The house of commons. 4 = *loudspeaker.
specialty n.  (pl. -ies) esp. Us = *speciality.
species n.  (pl. Same) 1 class of things having some common characteristics. 2 group of animals or plants within a genus, differing only slightly from others and capable of interbreeding. 3 kind, sort. [latin specio look]
specify v.  (-ies, -ied) 1 (also absol.) Name or mention expressly or as a condition (specified a two-hour limit). 2 include in specifications. [latin: related to *specific]
spectrum n.  (pl. -tra) 1 band of colours as seen in a rainbow etc. 2 entire or wide range of a subject, emotion, etc. 3 distribution of electromagnetic radiation in which the parts are arranged according to wavelength. [latin specio look]
speech n.  1 faculty, act, or manner of speaking. 2 formal public address. 3 language of a nation, group, etc. [old english: related to *speak]
spelling n.  1 way a word is spelt. 2 ability to spell.
spend v.  (past and past part. Spent) 1 pay out (money). 2 a use or consume (time or energy). B use up (material etc.). 3 (as spent adj.) Having lost its original force or strength; exhausted.  spend a penny colloq. Go to the lavatory.  spender n. [latin: related to *expend]
sphere n.  1 solid figure with every point on its surface equidistant from its centre; its surface. 2 ball, globe. 3 a field of action, influence, etc. B social class. 4 hist. Each of the revolving shells in which celestial bodies were thought to be set. [greek sphaira ball]
spider n.  Eight-legged arthropod of which many species spin webs esp. To capture insects as food. [old english: related to *spin]
spine n.  1 vertebrae extending from the skull to the coccyx; backbone. 2 needle-like outgrowth of an animal or plant. 3 part of a book enclosing the page-fastening. 4 sharp ridge or projection. [latin spina]
spokesman n.  (fem. Spokeswoman) person speaking for a group etc. [from *spoke2]
sporting adj.  1 interested or concerned in sport. 2 generous, fair.  a sporting chance some possibility of success.  sportingly adv.
spouse n.  Husband or wife. [latin sponsus sponsa betrothed]
springer n.  Small spaniel of a breed used to spring game.
squad n.  1 small group sharing a task etc., esp. Of soldiers or policemen (drug squad). 2 sport team. [french escouade]
stability n.  Being stable. [latin: related to *stable]
stadium n.  (pl. -s) athletic or sports ground with tiered seats for spectators. [greek stadion]
stainless adj.  1 without stains. 2 not liable to stain.
starter n.  1 device for starting a vehicle engine etc. 2 first course of a meal. 3 person giving the signal for the start of a race. 4 horse or competitor starting in a race.  for starters colloq. To start with.
statement n.  1 stating or being stated; expression in words. 2 thing stated. 3 formal account of facts. 4 record of transactions in a bank account etc. 5 notification of the amount due to a tradesman etc.
status n.  1 rank, social position, relative importance. 2 superior social etc. Position. [latin: related to *stature]
statute n.  1 written law passed by a legislative body. 2 rule of a corporation, founder, etc., intended to be permanent. [latin statutum from statuo set up]
statutory adj.  Required or enacted by statute.  statutorily adv.
sticker n.  1 adhesive label. 2 persistent person.
sticky adj.  (-ier, -iest) 1 tending or intended to stick or adhere. 2 glutinous, viscous. 3 humid. 4 colloq. Difficult, awkward; unpleasant, painful (sticky problem).  stickily adv. Stickiness n.
storage n.  1 a storing of goods etc. B method of or space for storing. 2 cost of storing. 3 storing of data in a computer etc.
story n.  (pl. -ies) 1 account of imaginary or past events; tale, anecdote. 2 history of a person or institution etc. 3 (in full story-line) narrative or plot of a novel, play, etc. 4 facts or experiences worthy of narration. 5 colloq. Fib. [anglo-french estorie from latin: related to *history]
strange adj.  1 unusual, peculiar, surprising, eccentric. 2 (often foll. By to) unfamiliar, foreign. 3 (foll. By to) unaccustomed. 4 not at ease.  strangely adv. Strangeness n. [french estrange from latin extraneus]
stranger n.  1 person new to a particular place or company. 2 (often foll. By to) person one does not know. 3 (foll. By to) person unaccustomed to (no stranger to controversy).
strategic adj.  1 of or promoting strategy. 2 (of materials) essential in war. 3 (of bombing or weapons) done or for use as a longer-term military objective.  strategically adv.
strategy n.  (pl. -ies) 1 long-term plan or policy (economic strategy). 2 art of war. 3 art of moving troops, ships, aircraft, etc. Into favourable positions.  strategist n.
street n.  1 a public road in a city, town, or village. B this with the houses etc. On each side. 2 people who live or work in a particular street.  on the streets living by prostitution. Streets ahead (often foll. By of) colloq. Much superior (to). Up (or right up) one's street colloq. What one likes, knows about, etc. [old english]
strength n.  1 being strong; degree or manner of this. 2 a person or thing giving strength. B positive attribute. 3 number of people present or available; full number.  from strength to strength with ever-increasing success. In strength in large numbers. On the strength of on the basis of. [old english: related to *strong]
strict adj.  1 precisely limited or defined; undeviating (strict diet). 2 requiring complete obedience or exact performance.  strictly speaking applying words or rules in their strict sense. strictly adv. Strictness n. [latin stringo strict- draw tight] 
striking adj.  Impressive; attracting attention.  strikingly adv.
student n.  1 person who is studying, esp. At a place of higher or further education. 2 (attrib.) Studying in order to become (student nurse).  studentship n. [latin: related to *study]
studio n.  (pl. -s) 1 workroom of a painter, photographer, etc. 2 place for making films, recordings, or broadcast programmes. [italian]
stunning adj.  Colloq. Extremely attractive or impressive.  stunningly adv.
stylish adj.  1 fashionable; elegant. 2 superior.  stylishly adv. Stylishness n.
stylus n.  (pl. -luses) 1 sharp needle following a groove in a gramophone record and transmitting the recorded sound for reproduction. 2 pointed writing tool. [latin: related to *style]
submit v.  (-tt-) 1 (usu. Foll. By to) a cease resistance; yield. B refl. Surrender (oneself) to the control of another etc. 2 present for consideration. 3 (usu. Foll. By to) subject (a person or thing) to a process, treatment, etc. [latin mitto miss- send]
subscribe v.  (-bing) 1 (usu. Foll. By to, for) a pay (a specified sum), esp. Regularly, for membership of an organization, receipt of a publication, etc. B contribute money to a fund, for a cause, etc. 2 (usu. Foll. By to) agree with an opinion etc. (i subscribe to that).  subscribe to arrange to receive (a periodical etc.) Regularly. [latin scribo script- write]
substance n.  1 particular kind of material having uniform properties. 2 reality; solidity. 3 content or essence as opposed to form etc. (substance of his remarks). 4 wealth and possessions (woman of substance).  in substance generally; essentially. [latin substantia]
subtle adj.  (subtler, subtlest) 1 elusive, mysterious; hard to grasp. 2 (of scent, colour, etc.) Faint, delicate. 3 a perceptive (subtle intellect). B ingenious (subtle device).  subtlety n. (pl. -ies). Subtly adv. [latin subtilis]
suburban adj.  1 of or characteristic of suburbs. 2 derog. Provincial in outlook.  suburbanite n.
succeed v.  1 a (often foll. By in) have success. B be successful. 2 follow; come next after. 3 (often foll. By to) come into an inheritance, office, title, or property (succeeded to the throne). [latin succedo -cess- come after]
success n.  1 accomplishment of an aim; favourable outcome. 2 attainment of wealth, fame, or position. 3 successful thing or person. [latin: related to *succeed]
sudden adj.  Done or occurring unexpectedly or abruptly.  all of a sudden suddenly.  suddenly adv. Suddenness n. [latin subitaneus]
sue v.  (sues, sued, suing) 1 (also absol.) Begin a law suit against. 2 (often foll. By to, for) make application to a lawcourt for redress. 3 (often foll. By to, for) make entreaty to a person for a favour. [anglo-french suer from latin sequor follow]
suffer v.  1 undergo pain, grief, damage, etc. 2 undergo, experience, or be subjected to (pain, loss, grief, defeat, change, etc.). 3 tolerate (does not suffer fools gladly). 4 (usu. Foll. By to + infin.) Archaic allow.  sufferer n. [latin suffero]
suggest v.  1 (often foll. By that) propose (a theory, plan, etc.). 2 a evoke (an idea etc.). B hint at.  suggest itself (of an idea etc.) Come into the mind. [latin suggero -gest-]
suicide n.  1 a intentional killing of oneself. B person who commits suicide. 2 self-destructive action or course (political suicide). [latin sui of oneself, *-cide]
suitable adj.  (usu. Foll. By to, for) well-fitted; appropriate.  suitability n. Suitably adv.
suite n.  1 set, esp. Of rooms in a hotel etc. Or a sofa and armchairs. 2 mus. Set of instrumental pieces performed as a unit. [french: related to *suit]
summer n.  1 (often attrib.) Warmest season of the year. 2 (often foll. By of) mature stage of life etc.  summery adj. [old english]
summit n.  1 highest point, top. 2 highest degree of power, ambition, etc. 3 (in full summit meeting, talks, etc.) Conference of heads of government. [latin summus highest]
sunny adj.  (-ier, -iest) 1 bright with or warmed by sunlight. 2 cheery, bright.  sunnily adv. Sunniness n.
sunrise n.  1 sun's rising. 2 time of this.
sunset n.  1 sun's setting. 2 time of this.
sunshine n.  1 a light of the sun. B area lit by the sun. 2 fine weather. 3 cheerfulness. 4 colloq. Form of address.
superb adj.  1 colloq. Excellent. 2 magnificent.  superbly adv. [latin, = proud]
suppose v.  (-sing) (often foll. By that) 1 assume; be inclined to think. 2 take as a possibility or hypothesis (suppose you are right; supposing you are right). 3 (in imper.) As a formula of proposal (suppose we try again). 4 (of a theory or result etc.) Require as a condition (that supposes we're on time). 5 (in imper. Or pres. Part. Forming a question) in the circumstances that; if (suppose he won't let you?). 6 (as supposed adj.) Presumed (his supposed brother). 7 (in passive; foll. By to + infin.) A be expected or required (was supposed to write to you). B (with neg.) Ought not; not be allowed to (you are not supposed to go in there).  i suppose so expression of hesitant agreement. [french: related to *pose]
supreme adj.  1 highest in authority or rank. 2 greatest; most important. 3 (of a penalty or sacrifice etc.) Involving death.  supremely adv. [latin]
surfing n.  Sport of riding the surf on a board.
surgeon n.  1 medical practitioner qualified in surgery. 2 naval or military medical officer.
surgery n.  (pl. -ies) 1 treatment of bodily injuries or disorders by incision or manipulation etc. As opposed to drugs. 2  place where or time when a doctor, dentist, etc., treats patients, or an mp, lawyer, etc., gives advice. [latin chirurgia, from greek kheir hand, ergo work]
surgical adj.  1 of or by surgeons or surgery. 2 a used in surgery. B worn to correct a deformity etc. 3 (esp. Of military action) swift and precise. surgically adv.
surname n.  Family name, usu. Inherited or acquired by marriage. [obsolete surnoun from anglo-french: related to *sur-1]
survival n.  1 surviving. 2 relic.
survive v.  (-ving) 1 continue to live or exist. 2 live or exist longer than. 3 remain alive after or continue to exist in spite of (a danger, accident, etc.).  survivor n. [anglo-french survivre from latin supervivo]
sword n.  1 weapon with a long blade and hilt with a handguard. 2 (prec. By the) a war. B military power.  put to the sword kill. [old english]
symbol n.  1 thing regarded as typifying or representing something (white is a symbol of purity). 2 mark, sign, etc. Representing an object, idea, function, or process; logo.  symbolic adj. Symbolically adv. [greek sumbolon]
sympathy n.  (pl. -ies) 1 a sharing of another's feelings. B capacity for this. 2 a (often foll. By with) sharing or tendency to share (with a person etc.) In an emotion, sensation, or condition. B (in sing. Or pl.) Compassion or commiseration; condolences. 3 (often foll. By for) approval. 4 (in sing. Or pl.; often foll. By with) agreement (with a person etc.) In opinion or desire.  in sympathy (often foll. By with) having, showing, or resulting from sympathy. [greek, = fellow-feeling]
symphony n.  (pl. -ies) 1 large-scale composition for full orchestra in several movements. 2 instrumental interlude in a large-scale vocal work. 3 = *symphony orchestra.  symphonic adj. [from *syn-, greek phone sound]
symposium n.  (pl. -sia) 1 conference, or collection of essays, on a particular subject. 2 philosophical or other friendly discussion. [greek sumpotes fellow-drinker]
syndrome n.  1 group of concurrent symptoms of a disease. 2 characteristic combination of opinions, emotions, behaviour, etc. [greek sundrome running together]
synopsis n.  (pl. Synopses) summary or outline. [greek opsis view]
syntax n.  1 grammatical arrangement of words. 2 rules or analysis of this.  syntactic adj. Syntactically adv. [greek, = arrangement]
synthesis n.  (pl. -theses) 1 a combining of elements into a whole. B result of this. 2 chem. Artificial production of compounds from their constituents as distinct from extraction from plants etc. [greek, = placing together]
system n.  1 complex whole; set of connected things or parts; organized body of things. 2 a set of organs in the body with a common structure or function. B human or animal body as a whole. 3 method; scheme of action, procedure, or classification. 4 orderliness. 5 (prec. By the) prevailing political or social order, esp. Regarded as oppressive.  get a thing out of one's system colloq. Get rid of a preoccupation or anxiety. [greek sustema -mat-]
tablet n.  1 small solid dose of a medicine etc. 2 bar of soap etc. 3 flat slab of esp. Stone, usu. Inscribed. 4 us writing-pad. [latin diminutive: related to *table]
tale n.  1 (usu. Fictitious) narrative or story. 2 allegation, often malicious or in breach of confidence. [old english]
talent n.  1 special aptitude or faculty (talent for music). 2 high mental ability. 3 a person or persons of talent. B colloq. Attractive members of the opposite sex (plenty of local talent). 4 ancient esp. Greek weight and unit of currency.  talented adj. [greek talanton]
tariff n.  1 table of fixed charges (hotel tariff). 2 a duty on a particular class of goods. B list of duties or customs due. [arabic, = notification]
taxation n.  Imposition or payment of tax. [latin: related to *tax]
tea n.  1 a (in full tea plant) asian evergreen shrub or small tree. B its dried leaves. 2 drink made by infusing tea-leaves in boiling water. 3 infusion of other leaves etc. (camomile tea; beef tea). 4 a light afternoon meal of tea, bread, cakes, etc. B = *high tea. [probably dutch tee from chinese]
teach v.  (past and past part. Taught) 1 a give systematic information, instruction, or training to (a person) or about (a subject or skill) (taught me to swim). B (absol.) Practise this professionally. C communicate, instruct in (suffering taught me patience). 2 advocate as a moral etc. Principle (taught forgiveness). 3 (foll. By to + infin.) A instruct (a person) by example or punishment (that will teach you not to disobey). B colloq. Discourage (a person) from (that will teach you to laugh).  teachable adj. [old english]
teacher n.  Person who teaches, esp. In a school.
teaching n.  1 profession of a teacher. 2 (often in pl.) What is taught; doctrine.
tech n.  (also tec) colloq. Technical college. [abbreviation]
technical adj.  1 of the mechanical arts and applied sciences (technical college). 2 of a particular subject or craft etc. Or its techniques (technical terms). 3 (of a book or discourse etc.) Using technical language; specialized. 4 due to mechanical failure (technical hitch). 5 strictly or legally interpreted (lost on a technical point).  technically adv.
technique n.  1 mechanical skill in art. 2 skilful manipulation of a situation, people, etc. 3 manner of artistic execution in music, painting, etc. [french: related to *technic]
ted n.  (also ted) colloq. Teddy boy. [abbreviation]
teddy n.  (also teddy) (pl. -ies) (in full teddy bear) soft toy bear. [teddy, pet form of theodore roosevelt]
telephony n.  Transmission of sound by telephone.
tell v.  (past and past part. Told) 1 relate in speech or writing (tell me a story). 2 make known; express in words (tell me your name). 3 reveal or signify to (a person) (your face tells me everything). 4 utter (tell lies). 5 a (often foll. By of, about) divulge information etc.; reveal a secret, the truth etc. (told her about venice; book tells you how to cook; promise you won't tell; time will tell). B (foll. By on) colloq. Inform against. 6 (foll. By to + infin.) Direct; order (tell them to wait). 7 assure (it's true, i tell you). 8 decide, determine, distinguish (tell one from the other). 9 (often foll. By on) produce a noticeable effect or influence (strain told on me; evidence tells against you). 10 (often absol.) Count (votes) at a meeting, election, etc.  tell apart distinguish between (could not tell them apart). Tell off colloq. Scold. Tell tales make known another person's faults etc. Tell the time read the time from a clock or watch. You're telling me colloq. I agree wholeheartedly. [old english: related to *tale]
telling adj.  Having a marked effect; striking; impressive.  tellingly adv.
template n.  Piece of thin board or metal plate etc., used as a pattern in cutting or drilling etc. [originally templet, diminutive of temple, device in a loom to keep the cloth stretched]
temporal adj.  1 worldly as opposed to spiritual; secular. 2 of time. 3 gram. Denoting time or tense (temporal conjunction). 4 of the temples of the head (temporal artery). [latin tempus -por- time]
ten adj.  & n. 1 one more than nine. 2 symbol for this (10, x, x). 3 size etc. Denoted by ten. 4 ten o'clock.  ten to one very probably. [old english]
tenant n.  1 person who rents land or property from a landlord. 2 (often foll. By of) occupant of a place. [french: related to *tenable]
tennis n.  Game in which two or four players strike a ball with rackets over a net stretched across a court. [probably french tenez take! (as a server's call)]
tent n.  1 portable canvas etc. Shelter or dwelling supported by poles and cords attached to pegs driven into the ground. 2 tentlike enclosure, e.g. Supplying oxygen to a patient. [latin: related to *tend1]
terrain n.  Tract of land, esp. In geographical or military contexts. [latin: related to *terrene]
terrible adj.  1 colloq. Very great or bad (terrible bore). 2 colloq. Very incompetent (terrible at maths). 3 causing or likely to cause terror; dreadful, formidable. [latin terreo frighten]
territory n.  (pl. -ies) 1 extent of the land under the jurisdiction of a ruler, state, etc. 2 (territory) organized division of a country, esp. One not yet admitted to the full rights of a state. 3 sphere of action etc.; province. 4 commercial traveller's sales area. 5 animal's or human's defended space or area. 6 area defended by a team or player in a game. [latin terra land]
terror n.  1 extreme fear. 2 a terrifying person or thing. B colloq. Formidable or troublesome person or thing, esp. A child. 3 organized intimidation; terrorism. [latin terreo frighten]
terrorist n.  (often attrib.) Person using esp. Organized violence against a government etc.  terrorism n. [french: related to *terror]
terry n.  (often attrib.) Looped pile fabric used esp. For towels and nappies. [origin unknown]
testament n.  1 will (esp. Last will and testament). 2 (usu. Foll. By to) evidence, proof (is testament to his loyalty). 3 bibl. A covenant, dispensation. B (testament) division of the bible (see *old testament, *new testament). [latin testamentum will: related to *testate]
testimony n.  (pl. -ies) 1 witness's statement under oath etc. 2 declaration or statement of fact. 3 evidence, demonstration (produce testimony). [latin testimonium from testis witness]
text n.  1 main body of a book as distinct from notes etc. 2 original book or document, esp. As distinct from a paraphrase etc. 3 passage from scripture, esp. As the subject of a sermon. 4 subject, theme. 5 (in pl.) Books prescribed for study. 6 data in textual form, esp. As stored, processed, or displayed in a word processor etc. [latin texo text- weave]
theater n.  (brit. Theatre) 1 building or outdoor area for dramatic performances. 2 writing and production of plays. 3 room or hall for lectures etc. With seats in tiers. 4 operating theatre. 5 a scene or field of action (the theatre of war). B (attrib.) Designating weapons intermediate between tactical and strategic. [greek theatron]
theatre n.  (us theater) 1 building or outdoor area for dramatic performances. 2 writing and production of plays. 3 room or hall for lectures etc. With seats in tiers. 4 operating theatre. 5 a scene or field of action (the theatre of war). B (attrib.) Designating weapons intermediate between tactical and strategic. [greek theatron]
theft n.  Act of stealing. [old english: related to *thief]
theme n.  1 subject or topic of a talk, book, etc. 2 mus. Prominent melody in a composition. 3 us school exercise on a given subject.  thematic adj. Thematically adv. [greek thema -mat-]
theology n.  (pl. -ies) the study or a system of theistic (esp. Christian) religion.  theological adj. Theologically adv. [greek: related to *theo-]
theorem n.  Esp. Math. 1 general proposition that is not self-evident but is proved by reasoning. 2 rule in algebra etc., esp. One expressed by symbols or formulae. [greek theoreo look at]
theory n.  (pl. -ies) 1 supposition or system of ideas explaining something, esp. One based on general principles independent of the particular things to be explained (atomic theory; theory of evolution). 2 speculative (esp. Fanciful) view (one of my pet theories). 3 abstract knowledge or speculative thought (all very well in theory). 4 exposition of the principles of a science etc. (the theory of music). 5 collection of propositions to illustrate the principles of a mathematical subject (probability theory). [greek: related to *theorem]
therapy n.  (pl. -ies) non-surgical treatment of disease or disability.  therapist n. [greek therapeia healing]
thesaurus n.  (pl. -ri or -ruses) book that lists words in groups of synonyms and related concepts. [greek: related to *treasure]
thesis n.  (pl. Theses) 1 proposition to be maintained or proved. 2 dissertation, esp. By a candidate for a higher degree. [greek, = putting]
theta n.  Eighth letter of the greek alphabet (q, q). [greek]
thickness n.  1 being thick. 2 extent of this. 3 layer of material (use three thicknesses).
